Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validate Book Appointment Feature,Chrome 134.0.6998.118,,,27-03-2025 10:50:15,27-03-2025 10:51:22,1m - 7.122s,PASSED
,,,,,,,
Test Cases/TC4_Book Appointment with ReAdmission,Chrome 134.0.6998.118,,,27-03-2025 10:50:16,27-03-2025 10:50:54,37.666s,PASSED
"openBrowser("""")",Chrome 134.0.6998.118,,,27-03-2025 10:50:17,27-03-2025 10:50:27,10.512s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 134.0.6998.118,,,27-03-2025 10:50:27,27-03-2025 10:50:38,10.672s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 134.0.6998.118,,,27-03-2025 10:50:38,27-03-2025 10:50:40,2.484s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 134.0.6998.118,,,27-03-2025 10:50:40,27-03-2025 10:50:42,1.833s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 134.0.6998.118,,,27-03-2025 10:50:42,27-03-2025 10:50:44,2.169s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 134.0.6998.118,,,27-03-2025 10:50:44,27-03-2025 10:50:48,3.937s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 134.0.6998.118,,,27-03-2025 10:50:48,27-03-2025 10:50:49,0.783s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",Chrome 134.0.6998.118,,,27-03-2025 10:50:49,27-03-2025 10:50:49,0.446s,PASSED
